"state","period","fatality_rate"
"Fairfield","After",14.8
"Fairfield","After",11
"Fairfield","After",15.2
"Fairfield","Before",13.2
"Greendale","Before",15.2
"Greendale","After",18.3
"Greendale","Before",14.8
"Fairfield","Before",11.5
"Greendale","Before",17.6
"Fairfield","Before",15.4
"Fairfield","Before",13.9
"Greendale","Before",12.7
"Greendale","Before",20.4
"Greendale","After",15
"Greendale","Before",19.1
"Greendale","After",11.1
"Fairfield","Before",18.8
"Fairfield","Before",13.2
"Fairfield","Before",11.6
"Fairfield","Before",16.2
"Fairfield","Before",12.8
"Greendale","Before",16.7
"Fairfield","Before",14.6
"Greendale","After",10.9
"Greendale","After",12.8
"Greendale","After",18.7
"Greendale","After",11.4
"Fairfield","Before",16.4
"Fairfield","Before",11.5
"Greendale","After",18.7
"Fairfield","After",12.4
"Fairfield","Before",9.2
"Fairfield","Before",8.5
"Greendale","Before",15.2
"Greendale","Before",17.1
"Fairfield","Before",16.4
"Fairfield","After",11.6
"Greendale","After",12.8
"Greendale","Before",16
"Fairfield","After",10.1
"Greendale","After",15.4
"Greendale","After",17.3
"Greendale","After",14.8
"Greendale","Before",12.5
"Fairfield","After",10.5
"Fairfield","After",8.1
"Greendale","Before",15
"Greendale","Before",17.6
"Fairfield","After",8.8
"Greendale","Before",12.4
"Fairfield","After",11.9
"Greendale","After",17.9
"Greendale","Before",14.2
"Greendale","After",14
"Greendale","Before",11.4
"Greendale","Before",14.7
"Greendale","Before",15.5
"Greendale","Before",9.9
"Greendale","After",14.6
"Greendale","After",15.5
"Fairfield","Before",11.5
"Greendale","After",14.4
"Fairfield","After",16.3
"Greendale","After",20
"Greendale","Before",17.1
"Greendale","After",14.8
"Fairfield","After",14.5
"Greendale","Before",11
"Greendale","Before",14.2
"Fairfield","After",12.6
"Fairfield","Before",10.5
"Greendale","Before",16.5
"Greendale","After",14.3
"Fairfield","After",10.4
"Greendale","Before",15.1
"Fairfield","After",11.9
"Greendale","Before",17.9
"Greendale","Before",15.9
"Greendale","After",15.4
"Greendale","Before",19.6
"Fairfield","Before",18.9
"Greendale","After",12.8
"Greendale","After",16.9
"Greendale","After",11.5
"Greendale","Before",14.9
"Fairfield","After",14
"Greendale","Before",16.9
"Fairfield","Before",10.9
"Fairfield","Before",14.4
"Fairfield","Before",14
"Greendale","Before",16.3
"Fairfield","After",12.2
"Greendale","Before",19.1
"Greendale","After",12.7
"Fairfield","Before",14.6
"Greendale","Before",15.3
"Fairfield","Before",9.8
"Greendale","After",13.2
"Greendale","After",17.6
"Greendale","After",10.5
"Greendale","After",11.1
"Fairfield","Before",10.8
"Greendale","After",8.2
"Fairfield","After",6.6
"Greendale","Before",14.1
"Fairfield","After",12
"Fairfield","After",9.4
"Greendale","After",11.7
"Greendale","Before",14.1
"Greendale","After",12.2
"Greendale","After",15.3
"Fairfield","After",14
"Greendale","Before",17.4
"Fairfield","After",12.2
"Greendale","Before",17.9
"Greendale","After",13
"Fairfield","After",6.9
"Greendale","After",16.2
"Greendale","Before",16.6
"Fairfield","Before",16.5
"Greendale","Before",15.8
"Greendale","After",15.3
"Greendale","After",13.5
"Fairfield","Before",11.5
"Fairfield","After",13
"Fairfield","Before",8.3
"Fairfield","After",4.7
"Greendale","Before",15.3
"Fairfield","Before",14.2
"Greendale","Before",9.6
"Fairfield","After",8.1
"Greendale","After",17.4
"Fairfield","Before",17.3
"Fairfield","Before",16.1
"Greendale","Before",8.6
"Fairfield","After",6.9
"Fairfield","Before",13.3
"Greendale","After",12.6
"Fairfield","After",7.2
"Greendale","After",13.4
"Fairfield","Before",18.3
"Fairfield","Before",10.6
"Greendale","Before",11.5
"Fairfield","After",9.7
"Fairfield","After",14.1
"Fairfield","Before",15.3
"Greendale","After",11.8
"Greendale","Before",12.4
"Greendale","After",15.2
"Fairfield","After",9.5
"Fairfield","Before",7.6
"Fairfield","After",8.2
"Fairfield","After",7.5
"Greendale","Before",16.3
"Greendale","Before",14
"Fairfield","Before",13.9
"Greendale","After",16.4
"Greendale","Before",15.1
"Greendale","Before",13.2
"Fairfield","Before",12.5
"Greendale","Before",15.1
"Fairfield","Before",10.6
"Greendale","After",18.8
"Fairfield","After",11.7
"Fairfield","After",10.4
"Fairfield","After",15
"Greendale","After",15.6
"Greendale","After",14.1
"Fairfield","After",6.5
"Greendale","Before",16.3
"Fairfield","Before",12
"Fairfield","Before",8.7
"Greendale","After",13.9
"Greendale","Before",16.7
"Greendale","After",16.1
"Fairfield","Before",12.8
"Fairfield","After",12
"Greendale","Before",11.9
"Greendale","Before",15.8
"Fairfield","After",15.1
"Fairfield","After",15
"Greendale","Before",18.8
"Fairfield","After",14
"Greendale","Before",16.9
"Greendale","Before",15.5
"Greendale","After",19.3
"Fairfield","After",13.3
"Fairfield","Before",16.2
"Greendale","Before",12.2
"Fairfield","After",12.7
"Greendale","Before",17.1
"Fairfield","Before",16.8
"Fairfield","After",14
"Fairfield","Before",15.8
"Fairfield","After",11.1
"Greendale","Before",19.1
"Greendale","Before",18
"Fairfield","Before",13.6
"Greendale","After",13.8
"Greendale","Before",16.3
"Greendale","After",14.9
"Fairfield","After",9.1
"Fairfield","Before",11.6
"Fairfield","After",8.2
"Fairfield","After",13.6
"Greendale","After",14.1
"Greendale","Before",18.7
"Fairfield","Before",11.3
"Fairfield","Before",12.8
"Fairfield","After",10.2
"Fairfield","Before",13.2
"Greendale","Before",14.1
"Greendale","After",13.2
"Fairfield","Before",12.7
"Greendale","After",16.4
"Greendale","After",11.6
"Greendale","After",7.2
"Fairfield","Before",13.1
"Greendale","After",14.7
"Greendale","After",15.5
"Greendale","After",15.8
"Greendale","Before",13.6
"Fairfield","Before",18.5
"Greendale","After",15.9
"Fairfield","After",10.9
"Greendale","After",19.2
"Fairfield","After",13.2
"Fairfield","Before",9.3
"Fairfield","Before",13.7
"Greendale","After",19.5
"Fairfield","Before",6.8
"Greendale","After",14.6
"Fairfield","After",8.5
"Greendale","After",10.8
"Fairfield","After",10.9
"Fairfield","After",10.7
"Fairfield","Before",18.5
"Greendale","After",17.9
"Fairfield","Before",15.5
"Fairfield","After",9.7
"Greendale","Before",17.1
"Fairfield","Before",11.6
"Greendale","After",13
"Fairfield","After",11.4
"Fairfield","After",1.9
"Fairfield","After",9.2
"Fairfield","After",9.9
"Greendale","After",16.1
"Greendale","Before",15.9
"Fairfield","After",16.7
"Greendale","After",14.7
"Greendale","Before",14.6
"Greendale","Before",19.2
"Fairfield","Before",13.6
"Greendale","Before",17.6
"Fairfield","Before",13.3
"Fairfield","Before",16.1
"Greendale","After",11.1
"Fairfield","Before",10.6
"Greendale","After",9
"Greendale","Before",16
"Fairfield","Before",12.5
"Greendale","After",11.9
"Greendale","Before",17.6
"Greendale","Before",13.3
"Greendale","After",16.7
"Fairfield","Before",14
"Fairfield","After",10.2
"Fairfield","Before",17
"Fairfield","After",13.2
"Greendale","Before",13.8
"Greendale","After",15.6
"Fairfield","After",10.9
"Greendale","Before",19.1
"Greendale","After",16.7
"Greendale","After",13.7
"Fairfield","Before",13.8
"Greendale","Before",17.4
"Greendale","After",16.1
"Greendale","Before",16.4
"Greendale","After",20.5
"Fairfield","Before",11
"Fairfield","Before",12.3
"Fairfield","After",12.8
"Greendale","After",13.7
"Greendale","Before",18.5
"Fairfield","After",12.7
"Greendale","After",11.4
"Fairfield","Before",15.6
"Fairfield","After",17.4
"Fairfield","Before",12.5
"Greendale","After",16.2
"Fairfield","After",10.3
"Fairfield","After",8.8
"Fairfield","Before",10.7
"Greendale","Before",10
"Greendale","Before",15.5
"Greendale","After",15.1
"Greendale","Before",16
"Fairfield","Before",13.3
"Greendale","After",10.2
"Fairfield","Before",10.3
"Fairfield","Before",12.2
"Fairfield","After",14.6
"Fairfield","Before",13.4
"Fairfield","Before",10.2
"Greendale","After",12.7
"Greendale","After",18.7
"Greendale","Before",18.2
"Fairfield","After",12.1
"Greendale","After",16.4
"Greendale","Before",16.3
"Fairfield","After",10.2
"Greendale","After",18.1
"Greendale","Before",18.7
"Greendale","After",12.7
"Fairfield","After",8.3
"Greendale","Before",17.5
"Fairfield","Before",13.6
"Fairfield","Before",9.8
"Fairfield","Before",13.6
"Fairfield","After",15.5
"Greendale","Before",17.6
"Greendale","After",12.7
"Greendale","After",11.2
"Greendale","Before",18.7
"Fairfield","Before",10.2
"Fairfield","Before",13
"Greendale","Before",16.3
"Fairfield","Before",13.2
"Fairfield","After",7.7
"Greendale","Before",11.6
"Greendale","Before",10.8
"Greendale","After",18.3
"Fairfield","After",8.4
"Fairfield","After",12.4
"Fairfield","After",9.8
"Greendale","Before",15.6
"Greendale","Before",18.3
"Fairfield","After",8.2
"Fairfield","Before",9.7
"Fairfield","After",10.8
"Greendale","Before",15
"Fairfield","After",13
"Greendale","After",9.9
"Greendale","Before",20.7
"Greendale","After",15.8
"Fairfield","After",12.6
"Greendale","After",14.5
"Greendale","Before",16.5
"Fairfield","Before",13.5
"Fairfield","Before",16.9
"Fairfield","After",6.6
"Greendale","After",10.7
"Fairfield","Before",16.9
"Fairfield","Before",10.4
"Greendale","After",16.1
"Fairfield","Before",13.2
"Greendale","After",14.2
"Greendale","Before",12.3
"Fairfield","Before",16.3
"Fairfield","Before",11.8
"Fairfield","Before",16.1
"Greendale","After",13
"Greendale","Before",17.7
"Greendale","Before",10.1
"Greendale","Before",14.5
"Greendale","After",14.2
"Greendale","Before",16.9
"Greendale","After",18.3
"Greendale","Before",13.7
"Fairfield","Before",10.5
"Fairfield","Before",14.7
"Fairfield","After",13.5
"Greendale","Before",13.6
"Fairfield","After",11.1
"Fairfield","After",13.4
"Greendale","Before",16.6
"Fairfield","Before",14.7
"Greendale","Before",17.1
"Fairfield","Before",10.7
"Fairfield","Before",13
"Greendale","After",16.6
"Fairfield","Before",15.8
"Greendale","After",13.6
"Greendale","After",12
"Fairfield","Before",14.1
"Fairfield","After",11.3
"Greendale","Before",10.8
"Greendale","After",10.8
"Greendale","After",17.6
"Greendale","After",10.1
"Greendale","Before",15
"Greendale","Before",12.8
"Fairfield","Before",11.7
"Fairfield","Before",14.8
"Greendale","After",14.9
"Greendale","Before",12.6
"Fairfield","Before",13.1
"Greendale","After",13.1
"Fairfield","Before",13.4
"Fairfield","Before",6.7
"Greendale","After",11.7
"Greendale","After",14.4
"Fairfield","Before",13.8
"Greendale","After",13.4
"Greendale","After",17.9
"Fairfield","After",14
"Fairfield","After",12
"Fairfield","Before",10.1
"Fairfield","After",11
"Greendale","Before",13.5
"Greendale","After",10.5
"Fairfield","After",13.6
"Fairfield","Before",8.8
"Fairfield","Before",8.9
"Fairfield","After",12.2
"Fairfield","After",16
"Greendale","Before",19
"Fairfield","After",13
"Greendale","After",10.9
"Greendale","Before",15.3
"Greendale","Before",16.1
"Greendale","Before",14.1
"Fairfield","After",12.7
"Greendale","Before",17.1
"Greendale","Before",13.4
"Greendale","After",14.4
"Fairfield","After",13
"Fairfield","Before",16.1
"Fairfield","Before",17.4
"Fairfield","Before",11.7
"Greendale","Before",12.4
"Fairfield","Before",14.3
"Fairfield","Before",11.8
"Fairfield","After",13.8
"Fairfield","After",5.6
"Greendale","Before",13.8
"Greendale","Before",12.1
"Greendale","After",12.5
"Fairfield","Before",11.5
"Fairfield","Before",15.7
"Greendale","Before",8.7
"Greendale","Before",14.3
"Fairfield","After",15.7
"Fairfield","After",12.8
"Fairfield","Before",9
"Greendale","Before",10.7
"Greendale","Before",14.8
"Fairfield","After",11.9
"Fairfield","Before",15.7
"Greendale","After",8.5
"Greendale","After",12.5
"Greendale","After",12.2
"Fairfield","Before",12
"Greendale","Before",20.3
"Fairfield","After",12.1
"Fairfield","After",11.2
"Greendale","After",12.2
"Greendale","Before",14.2
"Fairfield","After",13.7
"Greendale","Before",14.9
"Greendale","Before",14.8
"Fairfield","After",11.5
"Fairfield","After",9.5
"Greendale","Before",17.2
"Fairfield","Before",9.8
"Fairfield","After",10
"Greendale","After",17.2
"Greendale","After",18.7
"Greendale","Before",13.2
"Fairfield","Before",13.9
"Fairfield","After",14.2
"Fairfield","After",14.3
"Greendale","After",12.5
"Greendale","Before",17.6
"Fairfield","After",13.8
"Fairfield","After",8.2
"Greendale","After",18.4
"Greendale","After",15.4
"Greendale","Before",11.5
"Greendale","After",21.1
"Greendale","Before",13.2
"Fairfield","Before",14.6
"Greendale","Before",20.1
"Greendale","After",17.2
"Fairfield","After",6.5
"Fairfield","After",8.9
"Greendale","Before",13.8
"Greendale","After",13.7
"Greendale","Before",9.6
"Fairfield","After",8.2
"Greendale","After",10.3
"Fairfield","After",6.7
"Greendale","Before",11.9
"Fairfield","Before",14
"Greendale","Before",18.2
"Greendale","After",10.6
"Fairfield","Before",15.4
"Greendale","Before",15.7
"Fairfield","Before",9.8
"Greendale","After",18.8
"Greendale","Before",11.5
"Fairfield","After",11.3
"Fairfield","Before",12.5
"Fairfield","Before",14
"Fairfield","Before",12.8
"Greendale","Before",11.6
"Greendale","After",18.4
"Greendale","Before",15.3
"Fairfield","Before",10.2
"Fairfield","After",13
"Fairfield","Before",11
"Fairfield","Before",16.7
"Fairfield","Before",13.5
"Greendale","After",14.4
"Greendale","Before",20.1
"Greendale","Before",13.4
"Fairfield","Before",12.6
"Greendale","Before",15.7
"Fairfield","Before",10
"Fairfield","After",9.4
"Fairfield","Before",15.4
"Fairfield","After",17.5
"Greendale","After",15.8
"Fairfield","After",8.7
"Fairfield","After",12.3
"Fairfield","After",3.4
"Greendale","After",16.4
"Fairfield","Before",12.9
"Fairfield","After",6.7
"Fairfield","After",12.1
"Fairfield","Before",9
"Fairfield","Before",8
"Greendale","Before",16.9
"Fairfield","Before",17
"Greendale","Before",14.4
"Greendale","Before",14.7
"Greendale","Before",17.5
"Fairfield","After",12.8
"Greendale","Before",13.6
"Greendale","Before",11.3
"Fairfield","After",9.6
"Fairfield","After",12.4
"Fairfield","Before",9.6
"Greendale","After",12.1
"Fairfield","After",12.3
"Fairfield","After",11.9
"Fairfield","Before",10.6
"Fairfield","After",14.5
"Fairfield","After",16.4
"Fairfield","After",12.8
"Fairfield","After",8.5
"Greendale","Before",16.4
"Greendale","Before",25.3
"Fairfield","After",9.2
"Greendale","After",9.7
"Fairfield","After",9.1
"Greendale","Before",16.5
"Fairfield","After",12.7
"Fairfield","Before",16.1
"Fairfield","Before",14.3
"Fairfield","After",12.7
"Greendale","After",17.9
"Fairfield","After",12.4
"Greendale","After",13.7
"Fairfield","After",7.5
"Fairfield","After",6.7
"Fairfield","Before",13
"Greendale","After",22.6
"Fairfield","After",12.3
"Fairfield","Before",10.2
"Greendale","After",16.7
"Fairfield","After",7.5
"Greendale","Before",20.4
"Fairfield","After",12.6
"Greendale","Before",12.9
"Fairfield","After",11.5
"Greendale","Before",12.1
"Fairfield","After",13.1
"Fairfield","Before",11.9
"Fairfield","After",16.3
"Fairfield","After",7.9
"Greendale","Before",13.2
"Fairfield","Before",8.1
"Greendale","After",13.2
"Fairfield","Before",7.4
"Greendale","After",16
"Greendale","After",16.1
"Fairfield","After",9.1
"Fairfield","After",5.2
"Greendale","Before",14.8
"Greendale","Before",15.8
"Greendale","Before",17.6
"Fairfield","Before",14.1
"Fairfield","After",15.4
"Greendale","After",16.6
"Greendale","After",8.1
"Greendale","Before",14.3
"Fairfield","Before",9.9
"Greendale","After",12.7
"Fairfield","Before",14.7
"Fairfield","Before",12.3
"Greendale","Before",10.6
"Greendale","Before",8.1
"Greendale","After",17.8
"Fairfield","Before",10.4
"Fairfield","Before",12.8
"Greendale","After",17
"Greendale","After",13.2
"Greendale","After",16.2
"Greendale","Before",16.5
"Fairfield","Before",12.5
"Fairfield","After",12.3
"Greendale","After",13.5
"Fairfield","Before",17.7
"Greendale","Before",12.8
"Fairfield","After",14.6
"Fairfield","Before",15.1
"Fairfield","After",17.2
"Greendale","After",14
"Greendale","Before",15.6
"Greendale","Before",14.7
"Fairfield","Before",14.1
"Fairfield","After",10.9
"Greendale","Before",14.6
"Fairfield","Before",16.4
"Greendale","After",9.6
"Fairfield","After",7.8
"Greendale","After",14.6
"Fairfield","After",9.5
"Greendale","Before",15.8
"Greendale","Before",16.6
"Fairfield","After",9.7
"Fairfield","Before",7.8
"Greendale","After",16.6
"Greendale","Before",14.1
"Fairfield","After",10.1
"Greendale","Before",12.4
"Fairfield","Before",15.1
"Greendale","Before",13.2
"Fairfield","Before",10.4
"Greendale","Before",10.4
"Greendale","After",17.7
"Greendale","Before",16
"Greendale","After",9.9
"Greendale","Before",20.3
"Fairfield","After",12.2
"Greendale","After",16.1
"Fairfield","After",9.4
"Fairfield","After",14.3
"Fairfield","Before",8.3
"Greendale","After",15.2
"Greendale","Before",20.1
"Fairfield","After",15.7
"Fairfield","Before",13.3
"Fairfield","Before",13.3
"Greendale","Before",16.1
"Greendale","After",7.4
"Fairfield","After",9.8
"Fairfield","After",10.8
"Fairfield","After",10.4
"Greendale","Before",16.3
"Fairfield","Before",14.6
"Greendale","Before",13
"Greendale","After",9.4
"Greendale","After",15.6
"Fairfield","After",9.3
"Fairfield","Before",11.2
"Greendale","After",15
"Greendale","After",16.9
"Greendale","After",11.8
"Greendale","Before",14.3
"Fairfield","After",11.6
"Fairfield","After",12.1
"Greendale","After",12.8
"Greendale","Before",9.7
"Fairfield","Before",9.7
"Greendale","After",18.6
"Fairfield","After",12.5
"Greendale","After",13.9
"Fairfield","Before",10.8
"Greendale","After",11.7
"Greendale","After",15.5
"Greendale","Before",10.1
"Fairfield","After",15.7
"Fairfield","Before",8.3
"Greendale","After",13.7
"Greendale","After",18.6
"Fairfield","After",16.5
"Greendale","After",16.3
"Greendale","After",10.3
"Fairfield","After",6.2
"Fairfield","Before",7.5
"Greendale","After",11
"Greendale","After",15.2
"Greendale","Before",17
"Fairfield","After",14.1
"Fairfield","Before",12
"Greendale","After",14
"Greendale","Before",14.7
"Fairfield","After",13.2
"Greendale","After",13.4
"Greendale","After",23.6
"Fairfield","After",16.4
"Greendale","After",12.7
"Fairfield","After",11
"Fairfield","After",9
"Greendale","Before",14.9
"Greendale","Before",15.5
"Fairfield","Before",11.9
"Greendale","After",11.7
"Greendale","Before",16.7
"Greendale","After",15.4
"Greendale","Before",12.7
"Greendale","Before",16.3
"Greendale","After",16.3
"Greendale","After",20
"Fairfield","After",12.6
"Fairfield","Before",19.1
"Fairfield","After",12
"Fairfield","After",4.8
"Greendale","Before",16.1
"Greendale","Before",11
"Greendale","After",10.5
"Greendale","Before",11.2
"Fairfield","Before",13.6
"Fairfield","Before",13.5
"Greendale","Before",16.6
"Greendale","Before",13.7
"Greendale","Before",9.8
"Fairfield","After",5.9
"Greendale","After",16.7
"Greendale","After",15.5
"Greendale","Before",17.1
"Fairfield","Before",11.8
"Fairfield","After",12
"Fairfield","Before",12.2
"Fairfield","Before",14.3
"Greendale","Before",15.1
"Greendale","After",18.3
"Greendale","Before",15.2
"Fairfield","After",11.7
"Fairfield","After",8.3
"Greendale","Before",13.2
"Greendale","After",14.5
"Greendale","Before",18.1
"Fairfield","Before",13.7
"Fairfield","After",13.5
"Fairfield","After",9.9
"Fairfield","After",14.5
"Greendale","After",12.7
"Greendale","Before",16.8
"Fairfield","Before",10.6
"Fairfield","After",12.1
"Greendale","After",11.2
"Fairfield","After",7.3
"Greendale","After",21.1
"Fairfield","After",9.8
"Fairfield","After",9.6
"Fairfield","Before",15.8
"Fairfield","Before",7.5
"Greendale","After",14.2
"Greendale","After",17.6
"Fairfield","Before",13.1
"Fairfield","After",13.7
"Greendale","Before",13.4
"Greendale","After",15.5
"Fairfield","Before",18.9
"Fairfield","After",12
"Fairfield","Before",15.4
"Greendale","After",15.5
"Greendale","Before",15.4
"Fairfield","Before",4.1
"Greendale","After",9.9
"Greendale","After",16.2
"Fairfield","After",8
"Greendale","After",15.9
"Greendale","Before",17.8
"Fairfield","After",5
"Greendale","Before",18.7
"Fairfield","After",10.1
"Greendale","Before",11
"Fairfield","Before",10.7
"Fairfield","After",9.3
"Greendale","After",10.4
"Fairfield","After",9.7
"Fairfield","Before",14
"Greendale","Before",8.8
"Greendale","Before",17.1
"Greendale","Before",15.1
"Fairfield","After",11.1
"Greendale","After",14.6
"Greendale","After",16
"Fairfield","After",14.2
"Fairfield","After",9.5
"Fairfield","Before",12.5
"Fairfield","Before",6.7
"Fairfield","Before",15.9
"Greendale","Before",14.9
"Greendale","After",14
"Fairfield","Before",15.4
"Fairfield","Before",14.3
"Greendale","After",15.4
"Greendale","After",15.3
"Greendale","After",15.3
"Greendale","After",10.1
"Greendale","After",14.6
"Fairfield","Before",16
"Fairfield","After",6.2
"Fairfield","Before",6.6
"Greendale","After",13
"Greendale","Before",14.9
"Fairfield","After",13.4
"Greendale","After",14.2
"Fairfield","Before",12.8
"Fairfield","After",10.2
"Fairfield","After",6.8
"Greendale","Before",11.5
"Fairfield","After",10.6
"Fairfield","Before",19.5
"Greendale","Before",7
"Fairfield","Before",8.1
"Greendale","After",15.3
"Fairfield","Before",14
"Fairfield","Before",13.4
"Fairfield","After",15.5
"Greendale","After",12.5
"Fairfield","After",10.1
"Greendale","Before",10.9
"Fairfield","After",10.4
"Greendale","Before",12.4
"Greendale","After",18.5
"Greendale","After",17
"Fairfield","After",14.5
"Fairfield","Before",14.4
"Greendale","After",13
"Greendale","After",16.3
"Fairfield","After",7.2
"Greendale","Before",15.5
"Fairfield","Before",11.1
"Fairfield","After",15.5
"Fairfield","After",17.1
"Fairfield","Before",11.7
"Greendale","Before",15.5
"Fairfield","After",14.4
"Greendale","Before",17.7
"Greendale","Before",15.1
"Greendale","Before",15.8
"Fairfield","Before",14.2
"Greendale","Before",19.4
"Greendale","After",12.9
"Fairfield","Before",13.2
"Fairfield","After",9.7
"Greendale","After",16.1
"Fairfield","After",11.2
"Fairfield","After",13.5
"Fairfield","Before",15.6
"Fairfield","Before",12.5
"Fairfield","Before",14.8
"Greendale","Before",13.8
"Fairfield","Before",11.4
"Greendale","Before",15
"Greendale","Before",8.8
"Fairfield","Before",13.4
"Greendale","Before",22.6
"Greendale","Before",14.8
"Greendale","After",17.1
"Fairfield","Before",14.8
"Fairfield","After",4.2
"Fairfield","Before",12.9
"Fairfield","Before",23
"Fairfield","After",6.8
"Fairfield","After",17.2
"Fairfield","After",7.9
"Fairfield","Before",11
"Fairfield","After",5.2
"Greendale","After",14.3
"Fairfield","Before",10
"Greendale","After",16.3
"Fairfield","Before",16.8
"Greendale","Before",17.6
"Greendale","After",15.7
"Fairfield","Before",16
"Greendale","After",16.8
"Fairfield","After",8.6
"Greendale","Before",23.8
"Greendale","Before",15.9
"Fairfield","Before",12.9
"Fairfield","Before",18.8
"Fairfield","Before",12
"Fairfield","Before",9.4
"Greendale","Before",8.7
"Greendale","After",18.1
"Fairfield","Before",13.2
"Greendale","After",11.1
"Fairfield","Before",16.6
"Fairfield","After",9.5
"Fairfield","Before",16.3
"Fairfield","Before",15.2
"Greendale","After",13.4
"Greendale","Before",14
"Greendale","After",16.9
"Fairfield","Before",7.8
"Greendale","Before",14.7
